county	year	一般政務	債務	教科文	社會福利	社發環境	經濟發展	補助及其他	退休撫卹	總預算
新竹市	2013	0.188303129	0.013839359	0.314658023	0.119758115	0.073811998	0.10525574	0.063087325	0.121286312	18064421
新竹縣	2013	0.15501922	0.022015079	0.336347099	0.124446557	0.020154527	0.165404704	0.06754689	0.109065924	25021078
桃園市	2013	0.18531393	0.007411407	0.397552695	0.118746631	0.038743644	0.144304761	0.023614289	0.084312643	62928000
澎湖縣	2013	0.230745109	0.002226275	0.211661482	0.129272142	0.025413562	0.278886286	0.031738197	0.090056948	9432798
臺中市	2013	0.212529808	0.007372882	0.319247308	0.108708689	0.075532078	0.151335354	0.030270422	0.095003459	107556315
臺北市	2013	0.150101286	0.021299274	0.365951439	0.230974382	0.066284755	0.117437606	0.01526224	0.032689018	173928137
臺南市	2013	0.235645558	0.015423019	0.335513899	0.105924076	0.036843862	0.193860031	0.019707139	0.057082416	86926366
臺東縣	2013	0.241563985	0.006946538	0.288229717	0.138123573	0.010654183	0.151824091	0.027994548	0.134663364	14395660
花蓮縣	2013	0.223892379	0.013721798	0.320926583	0.11559719	0.012930071	0.166816488	0.020182423	0.125933069	17341823
苗栗縣	2013	0.186586365	0.024683735	0.339549571	0.117261943	0.046387042	0.159533105	0.02298557	0.103012669	26333130
連江縣	2013	0.188207173	0.000442156	0.216094827	0.083897893	0.029911548	0.442029979	0.02703842	0.012378006	3392469
金門縣	2013	0.18003769	0	0.210555463	0.133559986	0.059891564	0.356868463	0.021099394	0.037987441	12002809
雲林縣	2013	0.164742496	0.023383502	0.325305118	0.146938674	0.006129022	0.169358526	0.030347189	0.133795473	27786000
高雄市	2013	0.180777778	0.01501839	0.34590033	0.208948692	0.100299797	0.087447529	0.020022421	0.041585063	126382519
南投縣	2014	0.219137053	0.017349179	0.335393623	0.123955845	0.0102043	0.127608358	0.029660821	0.136690821	20700000
嘉義市	2014	0.258548635	0.003815835	0.332493879	0.113236255	0.047895988	0.088267794	0.025295584	0.13044603	11164004
嘉義縣	2014	0.191856636	0.022181818	0.317688273	0.146111636	0.007631455	0.124836318	0.030727364	0.1589665	22000000
基隆市	2014	0.253689395	0.011633811	0.291033251	0.129690547	0.048059957	0.13227543	0.019296807	0.114320803	16868076
宜蘭縣	2014	0.188724688	0.01463333	0.40555475	0.107173477	0.056808729	0.090383733	0.031045462	0.105675831	20070824
屏東縣	2014	0.206600951	0.009837678	0.367511067	0.132052697	0.011825152	0.09664968	0.021899229	0.153623545	30495000
彰化縣	2014	0.17678015	0.012545488	0.385861653	0.113839437	0.00596324	0.163681103	0.02777484	0.11355409	42429119
新北市	2014	0.19740098	0.005521342	0.298408336	0.136287209	0.082189693	0.180735918	0.022801569	0.076654953	159508322
新竹市	2014	0.199456925	0.012512749	0.307922333	0.115986387	0.078144133	0.098913284	0.074077435	0.112986754	18381252
新竹縣	2014	0.158828504	0.022033462	0.338206714	0.119745244	0.025622509	0.208436304	0.032061633	0.095065631	25622120
桃園市	2014	0.176225009	0.005395691	0.417896265	0.114877715	0.028951975	0.153402598	0.025460563	0.077790184	70276450
澎湖縣	2014	0.246703297	0.00374573	0.229403282	0.129838849	0.039256183	0.226556439	0.032295136	0.092201084	9015599
臺中市	2014	0.205610377	0.006883093	0.306439532	0.121102607	0.066747272	0.187223848	0.023307663	0.082685609	111868318
臺北市	2014	0.157077946	0.019289494	0.372735226	0.222119932	0.068750511	0.111551108	0.016857498	0.031618285	171231396
臺南市	2014	0.202882148	0.015249037	0.365697497	0.120996349	0.037278448	0.179411664	0.020357735	0.058127123	80099285
臺東縣	2014	0.288192766	0.00683619	0.275385301	0.138618578	0.01194754	0.121463981	0.027062629	0.130493015	14628032
花蓮縣	2014	0.226359409	0.010817438	0.320299854	0.120622699	0.017097134	0.170553942	0.019703265	0.114546258	17357529
苗栗縣	2014	0.20620917	0.021859635	0.351914566	0.109870977	0.044524539	0.128492087	0.023602682	0.113526345	25160530
連江縣	2014	0.222069727	0.000311073	0.234696198	0.077544075	0.031845832	0.394859512	0.026746094	0.011927489	3214675
金門縣	2014	0.204261102	0	0.209224582	0.129933351	0.081511712	0.316093886	0.021367026	0.037608341	12728772
雲林縣	2014	0.164458858	0.023404455	0.327570128	0.143722272	0.005317674	0.189787634	0.029974762	0.115764217	28013000
高雄市	2014	0.182084403	0.01701927	0.353408945	0.214627369	0.074511976	0.099765764	0.014874424	0.04370785	126973187
南投縣	2015	0.213839768	0.016868983	0.362886097	0.134844705	0.008488945	0.094062741	0.029555586	0.139453175	20549550
嘉義市	2015	0.25145294	0.002824525	0.33501585	0.119892288	0.047760564	0.084863157	0.026653256	0.13153742	11105585
嘉義縣	2015	0.182631097	0.021403509	0.317362412	0.144145965	0.007978026	0.164416754	0.028454035	0.133608202	22800000
基隆市	2015	0.257313887	0.012083494	0.2583619	0.133229105	0.054119944	0.13937396	0.020180048	0.125337663	16303232
宜蘭縣	2015	0.187067349	0.014476015	0.352538207	0.113851792	0.06900007	0.122358269	0.028975654	0.111732645	19641386
屏東縣	2015	0.205672063	0.008344459	0.366938685	0.14075988	0.012629139	0.08863478	0.021655274	0.155365721	29960000
彰化縣	2015	0.19887671	0.014021275	0.40260231	0.109426345	0.006309143	0.112253522	0.03010771	0.126402986	38068721
新北市	2015	0.198252971	0.006088533	0.298451653	0.140074839	0.082343044	0.171235671	0.023344144	0.080209145	158371155
新竹市	2015	0.195818358	0.010217507	0.315567431	0.115307377	0.071692786	0.109744404	0.067570698	0.114081438	18497663
新竹縣	2015	0.146883779	0.020064496	0.323602728	0.120060527	0.029294881	0.231411597	0.03096342	0.097718573	25673359
桃園市	2015	0.179802007	0.003315806	0.349654088	0.143013824	0.066630853	0.168394726	0.02468564	0.064503056	91781295
澎湖縣	2015	0.238976845	0.003362727	0.259937587	0.129529128	0.032975885	0.205050362	0.028793144	0.101374321	9120574
臺中市	2015	0.203161216	0.006692734	0.296802674	0.124342975	0.060371481	0.198950218	0.0225389	0.087139802	113555985
臺北市	2015	0.171429816	0.013133439	0.41720188	0.153221826	0.076572252	0.118605907	0.016878013	0.032956867	158544077
臺南市	2015	0.204099794	0.015211252	0.365480858	0.125450234	0.041700647	0.170161977	0.020654529	0.05724071	76588044
